,TV,radio,newspaper,sales
1,100.4,9.6,3.6,10.7
2,107.4,14,10.9,11.5
3,198.9,49.4,60,23.7
4,290.7,4.1,8.5,12.8
5,50,11.6,18.4,8.4
6,170.2,7.8,35.2,11.7
7,218.4,27.7,53.4,18
8,193.2,18.4,65.7,15.2
9,199.8,3.1,34.6,11.4
10,266.9,43.8,5,25.4
11,292.9,28.3,43.2,21.4
12,27.5,1.6,20.7,6.9
13,8.7,48.9,75,7.2
14,25.6,39,9.3,9.5
15,56.2,5.7,29.7,8.7
16,75.3,20.3,32.5,11.3
17,262.9,3.5,19.5,12
18,284.3,10.6,6.4,15
19,17.9,37.6,21.6,8
20,276.7,2.3,23.7,11.8
21,213.4,24.6,13.1,17
22,182.6,46.2,58.7,21.2
23,97.2,1.5,30,9.6
24,253.8,21.3,30,17.6
25,172.5,18.1,30.7,14.4
26,165.6,10,17.6,12.6
27,43,25.9,20.5,9.6
28,73.4,17,12.9,10.9
29,240.1,16.7,22.9,15.9
30,23.8,35.1,65.9,9.2
31,227.2,15.8,49.9,14.8
32,136.2,19.2,16.6,13.2
33,140.3,1.9,9,10.3
34,248.8,27.1,22.9,18.9
35,147.3,23.9,19.1,14.6
36,188.4,18.1,25.6,14.9
37,276.9,48.9,41.8,27
38,18.8,21.7,50.4,7
39,69.2,20.5,18.3,11.3
40,26.8,33,19.3,8.8
41,296.4,36.3,100.9,23.8
42,216.8,43.9,27.2,22.3
43,66.9,11.7,36.8,9.7
44,75.1,35,52.7,12.6
45,218.5,5.4,27.4,12.2
46,195.4,47.7,52.9,22.4
47,166.8,42,3.6,19.6
48,74.7,49.4,45.7,14.7
49,241.7,38,23.2,21.8
50,230.1,37.8,69.2,22.1
51,11.7,36.9,45.2,7.3
52,265.6,20,0.3,17.4
53,214.7,24,4,17.4
54,239.9,41.5,18.5,23.2
55,76.4,26.7,22.3,11.8
56,7.8,38.9,50.6,6.6
57,287.6,43,71.8,26.2
58,67.8,36.6,114,12.5
59,283.6,42,66.2,25.5
60,28.6,1.5,33,7.3
61,210.8,49.6,37.7,23.8
62,199.1,30.6,38.7,18.3
63,17.2,45.9,69.3,9.3
64,139.3,14.5,10.2,13.4
65,8.6,2.1,1,4.8
66,232.1,8.6,8.7,13.4
67,66.1,5.8,24.2,8.6
68,151.5,41.3,58.5,18.5
69,120.5,28.5,14.2,14.2
70,13.2,15.9,49.6,5.6
71,215.4,23.6,57.6,17.1
72,197.6,3.5,5.9,11.7
73,76.3,27.5,16,12
74,180.8,10.8,58.4,12.9
75,18.7,12.1,23.4,6.7
76,88.3,25.5,73.4,12.9
77,135.2,41.7,45.9,17.2
78,112.9,17.4,38.6,11.9
79,213.5,43,33.8,21.7
80,281.4,39.6,55.8,24.4
81,90.4,0.3,23.2,8.7
82,123.1,34.6,12.4,15.2
83,70.6,16,40.8,10.5
84,187.9,17.2,17.9,14.7
85,76.4,0.8,14.8,9.4
86,85.7,35.8,49.3,13.3
87,137.9,46.4,59,19.2
88,129.4,5.7,31.3,11
89,168.4,7.1,12.8,11.7
90,97.5,7.6,7.2,9.7
91,62.3,12.6,18.3,9.7
92,44.5,39.3,45.1,10.4
93,38.2,3.7,13.8,7.6
94,205,45.1,19.6,22.6
95,116,7.7,23.1,11
96,110.7,40.6,63.2,16
97,121,8.4,48.7,11.6
98,69,9.3,0.9,9.3
99,239.3,15.5,27.3,15.7
100,142.9,29.3,12.6,15
101,243.2,49,44.3,25.4
102,96.2,14.8,38.9,11.4
103,216.4,41.7,39.6,22.6
104,16.9,43.7,89.4,8.7
105,139.5,2.1,26.6,10.3
106,131.7,18.4,34.6,12.9
107,255.4,26.9,5.5,19.8
108,31.5,24.6,2.2,9.5
109,273.7,28.9,59.7,20.8
110,75.5,10.8,6,9.9
111,224,2.4,15.6,11.6
112,219.8,33.5,45.1,19.6
113,220.5,33.2,37.9,20.1
114,43.1,26.7,35.1,10.1
115,228,37.7,32,21.5
116,261.3,42.7,54.7,24.2
117,289.7,42.3,51.2,25.4
118,149.8,1.3,24.3,10.1
119,17.2,4.1,31.6,5.9
120,59.6,12,43.1,9.7
121,175.7,15.4,2.4,14.1
122,177,9.3,6.4,12.8
123,44.7,25.8,20.6,10.1
124,149.7,35.6,6,17.3
125,238.2,34.3,5.3,20.7
126,197.6,23.3,14.2,16.6
127,141.3,26.8,46.2,15.5
128,7.3,28.1,41.4,5.5
129,229.5,32.3,74.2,19.7
130,8.4,27.2,2.1,5.7
131,109.8,47.8,51.4,16.7
132,193.7,35.4,75.6,19.2
133,139.2,14.3,25.6,12.2
134,240.1,7.3,8.7,13.2
135,171.3,39.7,37.7,19
136,248.4,30.2,20.3,20.2
137,80.2,0,9.2,8.8
138,109.8,14.3,31.7,12.4
139,87.2,11.8,25.9,10.6
140,102.7,29.6,8.4,14
141,48.3,47,8.5,11.6
142,125.7,36.9,79.2,15.9
143,280.2,10.1,21.4,14.8
144,177,33.4,38.7,17.1
145,280.7,13.9,37,16.1
146,187.8,21.1,9.5,15.6
147,134.3,4.9,9.3,11.2
148,19.6,20.1,17,7.6
149,206.8,5.2,19.4,12.2
150,25,11,29.7,7.2
151,78.2,46.8,34.5,14.6
152,89.7,9.9,35.7,10.6
153,234.5,3.4,84.8,11.9
154,265.2,2.9,43,12.7
155,94.2,4.9,8.1,9.7
156,93.9,43.5,50.5,15.3
157,156.6,2.6,8.3,10.5
158,95.7,1.4,7.4,9.5
159,25.1,25.7,43.3,8.5
160,68.4,44.5,35.6,13.6
161,117.2,14.7,5.4,11.9
162,57.5,32.8,23.5,11.8
163,210.7,29.5,9.3,18.4
164,53.5,2,21.4,8.1
165,175.1,22.5,31.5,14.9
166,104.6,5.7,34.4,10.4
167,293.6,27.7,1.8,20.7
168,36.9,38.6,65.6,10.8
169,13.1,0.4,25.6,5.3
170,184.9,21,22,15.5
171,239.8,4.1,36.9,12.3
172,19.4,16,22.3,6.6
173,250.9,36.5,72.3,22.2
174,120.2,19.6,11.6,13.2
175,191.1,28.7,18.2,17.3
176,237.4,27.5,11,18.9
177,220.3,49,3.2,24.7
178,209.6,20.6,10.7,15.9
179,184.9,43.9,1.7,20.7
180,163.3,31.6,52.9,16.9
