,default,student,balance,income
1,No,No,895.229809614619,48512.4556411759
2,No,No,1184.87086972763,41802.944332633
3,No,No,1298.48481522487,39143.2919242425
4,No,No,361.200702749123,49395.0267414522
5,No,Yes,1087.08349936833,19263.7695817024
6,No,No,826.327025939312,24679.715044052
7,No,No,0,47556.3012519448
8,No,Yes,1459.68708304516,15575.419233378
9,No,Yes,1534.3948836384,19592.1093866605
10,No,No,897.420265657772,36296.7481384119
11,No,No,112.327872497541,42386.0485550432
12,No,Yes,877.879803531887,18217.6136511989
13,No,Yes,1742.34653491169,10778.1548681166
14,No,No,897.861693678463,47557.5240974682
15,No,Yes,682.954298780229,15728.0479104477
16,No,Yes,2088.52910874916,18078.3291678441
17,No,Yes,1380.09673715717,14142.0754374369
18,No,No,659.54319765296,21835.1717983776
19,No,No,105.441003838571,35291.4633497544
20,No,Yes,856.655399246759,15523.1029435474
21,No,No,0,42118.1966584012
22,No,No,866.299668540652,65931.951109459
23,No,Yes,396.348073964702,19541.0460996816
24,No,No,69.5617975429155,49074.2475961957
25,No,No,2036.99318923915,31384.1300026505
26,No,No,652.266673982479,48639.4414824399
27,No,No,1042.78307264667,45982.9663185287
28,No,No,982.226465463733,38152.6966116717
29,No,Yes,1675.65876432611,20773.1332965924
30,No,No,403.64645291367,55458.8912456237
31,No,No,991.335394429677,44445.5789158122
32,No,No,289.681569442895,45991.0443210763
33,No,No,75.1776630661825,52765.9782830813
34,Yes,No,1332.38617766582,53517.350489625
35,No,Yes,1437.83036292863,23062.4948694903
36,Yes,No,1698.82614249543,27374.8875156932
37,No,No,0,44464.2972936873
38,No,Yes,0,20195.0026594829
39,No,No,339.95904709248,36132.805687911
40,No,No,136.505521337915,45596.1078294951
41,No,Yes,1577.08358059243,15230.8206004836
42,No,No,625.870177750823,53756.0440632584
43,No,No,155.993061347122,37599.7679668851
44,No,Yes,491.704320814421,8352.20898846706
45,No,No,808.429127594511,29212.9047289716
46,No,No,379.100360643884,31350.9286329779
47,No,No,902.137819758817,59695.2904641564
48,No,No,768.694006876275,32373.771051203
49,No,No,286.301054522557,30026.0707568402
50,No,Yes,1280.41844842492,16310.9055269133
51,No,No,888.081431985558,54072.6570198483
52,No,No,1102.92430902942,57828.1787773859
53,No,No,685.636883981982,49260.6253734599
54,No,No,1045.31135178129,31754.023779871
55,No,No,940.590874822012,41560.4709935342
56,No,No,626.516141890442,49207.001302772
57,No,No,828.98020983988,55696.8036988707
58,No,Yes,597.484040633687,14796.7496702089
59,No,No,195.022335186118,44222.9787399682
60,No,Yes,1400.54583563652,16519.0832437927
61,No,No,742.583373337698,40085.4399499287
62,No,No,1372.03570594285,36188.2397816099
63,No,No,1075.86377237476,44128.6282564037
64,No,No,731.3934721696,45251.8819209678
65,No,No,1381.81926933794,48394.289618696
66,No,No,821.498846966475,39318.4893922058
67,No,No,1265.12773929921,49385.5218570693
68,No,No,1654.93417536157,33179.7839229244
69,No,No,890.248108001647,34679.4827616344
70,No,No,1765.9908949866,47642.4221201503
71,No,Yes,1348.9953202389,25805.8099647288
72,No,No,1391.03380861176,51881.8186725178
73,No,No,683.826251435648,46937.622870695
74,Yes,Yes,2134.93448768395,20330.8648725049
75,No,Yes,1360.86563270173,22310.9295094468
76,No,Yes,1089.83145380546,15056.0778671339
77,No,Yes,797.373647480833,23438.1458035913
78,No,No,328.013011130292,38500.3995970506
79,No,No,443.900952937401,50768.4448744471
80,No,No,727.632557992218,38431.1580605875
81,No,No,54.675220865283,32279.5684271435
82,No,No,938.785896813178,14524.3576239936
83,No,No,975.571998093294,28804.0002507826
84,No,Yes,1277.37438672437,19675.1778370989
85,No,Yes,496.796907366618,21058.9615915699
86,No,No,1187.28392841327,56503.5729486472
87,No,No,1889.52477548295,32509.6162569272
88,No,No,890.266646268634,38376.0906470453
89,No,No,878.927937083077,47228.3409313744
90,No,No,508.153059619727,52772.2614547636
91,No,No,748.937063784024,44186.6177602638
92,No,No,877.039196960132,24902.735490804
93,No,No,1127.70019314671,32068.1465386873
94,No,No,854.140622660478,52239.8002409183
95,No,No,1022.10163765589,37095.2159409159
96,No,No,41.279727992759,52066.1473455983
97,No,No,586.602608270933,27798.1683237731
98,No,No,444.042702686403,47857.7146122207
99,No,No,789.639900431882,44073.2466932269
100,No,No,741.844666024469,45808.5402807401
101,No,No,191.913012578999,55659.4732930998
102,No,No,1294.76170642516,37712.3868971499
103,No,No,29.1750990816449,38871.4786871997
104,No,No,837.328407015019,61950.8030010727
105,No,No,262.791336186532,28974.7505490968
106,No,Yes,527.540184074571,17636.5396172936
107,No,No,951.620225963668,41689.5683729734
108,No,Yes,810.540945659107,17252.2542514058
109,No,Yes,671.175868767628,17564.9547548174
110,No,No,956.985400588607,38285.7478995927
111,No,Yes,621.170106310103,17503.6899747362
112,No,Yes,731.970611270272,13593.140510988
113,No,No,0,42869.1588324281
114,No,Yes,821.257288150696,17347.4394608849
115,No,No,796.991208463392,25159.554855822
116,No,No,344.545009104846,38463.6852600914
117,Yes,No,1800.64173306343,48708.9599348881
118,No,No,584.14121640762,35517.2291107955
119,No,No,1079.82329871977,44390.7160538533
120,No,No,1037.0085986933,36622.7922300473
121,No,No,1043.39033839845,45309.9489669253
122,No,No,1443.64838984541,45089.3895443578
123,No,No,202.321208104165,37188.5693842123
124,No,Yes,176.840578245143,20021.6933876891
125,No,Yes,325.283631228391,15962.7098774277
126,No,No,1143.30818005697,48630.0338419905
127,No,Yes,1417.22549877778,16053.9742636275
128,No,No,0,51719.3748711348
129,No,No,1022.68238813533,22588.5554727516
130,No,No,768.37858481136,43325.9703901599
131,No,No,1171.41159010859,52278.2442048295
132,No,No,1343.95492193688,26365.526253543
133,No,Yes,227.31723199312,24282.2285628356
134,No,No,321.039742945537,37026.5871638077
135,No,Yes,1470.33856265862,19647.1423253636
136,No,No,432.791088457237,52238.087436574
137,No,No,615.465388230695,25865.1806189451
138,No,No,157.003453234473,50131.8788806077
139,No,Yes,864.357126766229,10484.7705038946
140,No,No,1391.31830146058,48414.9057421767
141,No,No,697.62139806607,48469.8814036304
142,No,No,1235.48576796347,29992.185950678
143,No,Yes,640.998430228533,21680.097686865
144,No,Yes,733.78339042547,16124.3542488896
145,No,Yes,1464.63624150705,14763.5626843165
146,No,No,1728.335976312,33488.3043629755
147,No,No,905.038164636789,40711.7988982471
148,No,Yes,1243.34410193846,23634.7485750949
149,No,No,1178.98262547138,45545.1684231506
150,No,No,960.237692052783,53418.510829153
151,No,No,1013.70540675709,60574.8058732982
152,No,No,982.839988770985,32419.665047656
153,No,No,277.168651892652,37177.0360936892
154,No,No,295.150455976312,48387.4724479823
155,No,No,1043.55235783125,38393.6118953888
156,No,Yes,1092.34254978767,20465.1538178253
157,No,No,0,34227.947139365
158,No,No,1348.78501842297,33488.4129166473
159,No,No,631.804597881122,32752.5192557897
160,No,Yes,0,18235.6743746751
161,No,Yes,190.619278273277,21744.5093170033
162,No,Yes,1017.66711978071,13553.09142624
163,No,No,598.513776952532,42584.1208108417
164,No,No,877.029457220268,35054.9488981605
165,No,Yes,1203.98225964262,21524.318420608
166,No,No,864.343796306282,34598.4343942247
167,No,Yes,481.588375402497,19623.4605356064
168,No,No,1490.71507559311,36417.400041399
169,No,Yes,513.797677681162,15540.4543835634
170,No,No,441.489919754581,39209.9001280774
171,No,No,187.310192572034,31140.7467172041
172,No,Yes,1409.2991781164,21508.5015068054
173,No,Yes,1245.26750709863,16772.6193726086
174,No,Yes,1318.57773531948,18042.0176142666
175,No,Yes,1616.73887826784,12557.8228818817
176,No,No,1253.77341200631,28153.0140567459
177,No,Yes,1513.54243669697,13246.3752793563
178,No,No,795.034869917366,34169.669733554
179,Yes,No,1865.63577947078,49604.8821305309
180,No,Yes,1068.45464067538,13638.7026931268
181,No,Yes,0,20157.2512618026
182,No,No,1517.91895836893,49400.1708378773
183,No,Yes,1095.61200214885,10450.7448786067
184,No,Yes,1154.44636742935,14301.1571179952
185,No,Yes,1635.22294194078,8531.03808542902
186,Yes,No,1505.83147454065,29525.7494012187
187,No,No,961.1524668748,51179.4601199922
188,No,No,1224.93071142997,44002.654530336
189,No,No,357.865880853581,42499.0322877445
190,No,No,1367.10860567106,36427.4297417666
191,No,No,11.307783333379,43520.4888003279
192,No,No,1046.00899599925,45573.3837714878
193,No,No,1576.90364668831,35117.8053539428
194,No,No,412.25489056191,37088.2123302523
195,No,No,1298.00276254287,42219.9112378061
196,No,Yes,810.102225230511,15102.32418046
197,No,No,430.490648307719,39921.1369084698
198,No,No,574.49119284902,31632.6242446603
199,No,Yes,622.413720314637,13072.0279621729
200,No,Yes,117.903081769161,14649.8580553618
201,No,Yes,906.033700467737,22658.7633289403
202,No,No,844.403802606626,36854.6363431765
203,No,No,562.801930706545,41934.5973333166
204,No,No,1146.97142806638,30637.2972983416
205,No,No,1101.01501795199,32153.0135926701
206,No,No,0,56982.5059208913
207,No,Yes,1000.74058586802,14689.4946797589
208,No,No,966.280287968092,33440.9792997775
209,No,Yes,935.757199246756,5386.17648259929
210,No,No,779.477523952232,34089.7970086937
211,No,No,660.244841965786,40885.8469473715
212,No,Yes,1199.80924416626,19538.0274856053
213,Yes,No,1456.96393044029,49054.1938883123
214,No,No,486.815972242664,25117.6438190184
215,No,Yes,566.460512626349,24828.2659835652
216,No,No,0,49608.0061692772
217,Yes,Yes,2205.79952114829,14271.492252976
218,No,No,278.703161386556,30113.8533896619
219,Yes,No,2005.57512847055,36636.0085937313
220,No,No,1024.94681888114,49675.5604190352
221,No,No,815.566907409863,31752.0771532132
222,No,No,937.923175402473,31664.0669007571
223,No,Yes,991.093996282783,16842.4361428305
224,No,No,395.475507300842,45084.105615353
225,No,No,528.40443472107,41066.7319025751
