,TV,radio,newspaper,sales
1,219.8,33.5,45.1,19.6
2,284.3,10.6,6.4,15
3,25,11,29.7,7.2
4,184.9,21,22,15.5
5,241.7,38,23.2,21.8
6,134.3,4.9,9.3,11.2
7,139.2,14.3,25.6,12.2
8,213.5,43,33.8,21.7
9,104.6,5.7,34.4,10.4
10,97.2,1.5,30,9.6
11,199.8,2.6,21.2,10.6
12,66.1,5.8,24.2,8.6
13,156.6,2.6,8.3,10.5
14,11.7,36.9,45.2,7.3
15,184.9,43.9,1.7,20.7
16,73.4,17,12.9,10.9
17,232.1,8.6,8.7,13.4
18,85.7,35.8,49.3,13.3
19,129.4,5.7,31.3,11
20,206.8,5.2,19.4,12.2
21,70.6,16,40.8,10.5
22,228,37.7,32,21.5
23,286,13.9,3.7,15.9
24,50,11.6,18.4,8.4
25,283.6,42,66.2,25.5
26,177,33.4,38.7,17.1
27,76.4,0.8,14.8,9.4
28,147.3,23.9,19.1,14.6
29,191.1,28.7,18.2,17.3
30,142.9,29.3,12.6,15
31,182.6,46.2,58.7,21.2
32,4.1,11.6,5.7,3.2
33,7.8,38.9,50.6,6.6
34,188.4,18.1,25.6,14.9
35,39.5,41.1,5.8,10.8
36,199.8,3.1,34.6,11.4
37,109.8,47.8,51.4,16.7
38,43,25.9,20.5,9.6
39,66.9,11.7,36.8,9.7
40,224,2.4,15.6,11.6
41,74.7,49.4,45.7,14.7
42,220.3,49,3.2,24.7
43,136.2,19.2,16.6,13.2
44,44.5,39.3,45.1,10.4
45,280.2,10.1,21.4,14.8
46,262.7,28.8,15.9,20.2
47,112.9,17.4,38.6,11.9
48,67.8,36.6,114,12.5
49,95.7,1.4,7.4,9.5
50,97.5,7.6,7.2,9.7
51,123.1,34.6,12.4,15.2
52,19.4,16,22.3,6.6
53,18.8,21.7,50.4,7
54,87.2,11.8,25.9,10.6
55,273.7,28.9,59.7,20.8
56,199.1,30.6,38.7,18.3
57,214.7,24,4,17.4
58,220.5,33.2,37.9,20.1
59,261.3,42.7,54.7,24.2
60,240.1,16.7,22.9,15.9
61,43.1,26.7,35.1,10.1
62,253.8,21.3,30,17.6
63,202.5,22.3,31.6,16.6
64,175.7,15.4,2.4,14.1
65,217.7,33.5,59,19.4
66,206.9,8.4,26.4,12.9
67,76.3,27.5,16,12
68,13.1,0.4,25.6,5.3
69,240.1,7.3,8.7,13.2
70,0.7,39.6,8.7,1.6
71,17.2,45.9,69.3,9.3
72,197.6,3.5,5.9,11.7
73,265.6,20,0.3,17.4
74,204.1,32.9,46,19
75,137.9,46.4,59,19.2
76,131.7,18.4,34.6,12.9
77,120.5,28.5,14.2,14.2
78,53.5,2,21.4,8.1
79,163.5,36.8,7.4,18
80,213.4,24.6,13.1,17
81,289.7,42.3,51.2,25.4
82,222.4,3.4,13.1,11.5
83,102.7,29.6,8.4,14
84,250.9,36.5,72.3,22.2
85,248.4,30.2,20.3,20.2
86,38.2,3.7,13.8,7.6
87,16.9,43.7,89.4,8.7
88,69.2,20.5,18.3,11.3
